YearQuarter,Industry,Total Gross Earnings
2002Q1,Manufacturing,153615300
2002Q2,Manufacturing,152950400
2002Q3,Manufacturing,145497200
2002Q4,Manufacturing,155553000
2003Q1,Manufacturing,162496300
2003Q2,Manufacturing,156834900
2003Q3,Manufacturing,152239900
2003Q4,Manufacturing,158233900
2004Q1,Manufacturing,167244700
2004Q2,Manufacturing,168612500
2004Q3,Manufacturing,161283400
2004Q4,Manufacturing,164837900
2005Q1,Manufacturing,170829400
2005Q2,Manufacturing,169454400
2005Q3,Manufacturing,160135700
2005Q4,Manufacturing,165077300
2006Q1,Manufacturing,167817100
2006Q2,Manufacturing,169200100
2006Q3,Manufacturing,162775200
2006Q4,Manufacturing,169738100
2007Q1,Manufacturing,176480800
2007Q2,Manufacturing,173858700
2007Q3,Manufacturing,167441400
2007Q4,Manufacturing,178677200
2008Q1,Manufacturing,188091900
2008Q2,Manufacturing,189475000
2008Q3,Manufacturing,171494900
2008Q4,Manufacturing,169375800
2009Q1,Manufacturing,171891600
2009Q2,Manufacturing,165957900
2009Q3,Manufacturing,158630700
2009Q4,Manufacturing,163436300
2010Q1,Manufacturing,169409800
2010Q2,Manufacturing,173036600
2010Q3,Manufacturing,164438100
2010Q4,Manufacturing,171141400
2011Q1,Manufacturing,175547200
2011Q2,Manufacturing,175757800
2011Q3,Manufacturing,170979400
2011Q4,Manufacturing,167863400
2012Q1,Manufacturing,180028800
2012Q2,Manufacturing,178826200
2012Q3,Manufacturing,172997000
2012Q4,Manufacturing,174902900
2013Q1,Manufacturing,185759200
2013Q2,Manufacturing,182635700
2013Q3,Manufacturing,179131400
2013Q4,Manufacturing,181566200
2014Q1,Manufacturing,193237800
2014Q2,Manufacturing,192433400
2014Q3,Manufacturing,186810700
2014Q4,Manufacturing,188341600
2015Q1,Manufacturing,204769200
2015Q2,Manufacturing,202397400
2015Q3,Manufacturing,194092200
2015Q4,Manufacturing,198411200
2016Q1,Manufacturing,200495700
2016Q2,Manufacturing,203941800
2016Q3,Manufacturing,196660100
2016Q4,Manufacturing,198581800
2017Q1,Manufacturing,207058600
2017Q2,Manufacturing,211614300
2017Q3,Manufacturing,203637300
2017Q4,Manufacturing,204058500
2018Q1,Manufacturing,214112000
2018Q2,Manufacturing,215161000
2018Q3,Manufacturing,211343000
2018Q4,Manufacturing,214045200
1989Q1,"Electricity, Gas, Water and Waste Services",10259500
1989Q2,"Electricity, Gas, Water and Waste Services",10099400
1989Q3,"Electricity, Gas, Water and Waste Services",10000900
1989Q4,"Electricity, Gas, Water and Waste Services",10002200
1990Q1,"Electricity, Gas, Water and Waste Services",9954500
1990Q2,"Electricity, Gas, Water and Waste Services",9975600
1990Q3,"Electricity, Gas, Water and Waste Services",10048800
1990Q4,"Electricity, Gas, Water and Waste Services",10186100
1991Q1,"Electricity, Gas, Water and Waste Services",10277100
1991Q2,"Electricity, Gas, Water and Waste Services",10166000
1991Q3,"Electricity, Gas, Water and Waste Services",10233200
1991Q4,"Electricity, Gas, Water and Waste Services",9845200
1992Q1,"Electricity, Gas, Water and Waste Services",10003800
1992Q2,"Electricity, Gas, Water and Waste Services",9442200
1992Q3,"Electricity, Gas, Water and Waste Services",9056400
1992Q4,"Electricity, Gas, Water and Waste Services",9137600
1993Q1,"Electricity, Gas, Water and Waste Services",9109000
1993Q2,"Electricity, Gas, Water and Waste Services",8692200
1993Q3,"Electricity, Gas, Water and Waste Services",8726400
1993Q4,"Electricity, Gas, Water and Waste Services",8931200
1994Q1,"Electricity, Gas, Water and Waste Services",9313800
1994Q2,"Electricity, Gas, Water and Waste Services",9367900
1994Q3,"Electricity, Gas, Water and Waste Services",9066700
1994Q4,"Electricity, Gas, Water and Waste Services",9265300
1995Q1,"Electricity, Gas, Water and Waste Services",9388800
1995Q2,"Electricity, Gas, Water and Waste Services",9408800
1995Q3,"Electricity, Gas, Water and Waste Services",9230800
1995Q4,"Electricity, Gas, Water and Waste Services",9328600
1996Q1,"Electricity, Gas, Water and Waste Services",9235400
1996Q2,"Electricity, Gas, Water and Waste Services",9170000
1996Q3,"Electricity, Gas, Water and Waste Services",9344300
1996Q4,"Electricity, Gas, Water and Waste Services",9693600
1997Q1,"Electricity, Gas, Water and Waste Services",9965600
1997Q2,"Electricity, Gas, Water and Waste Services",9642500
1997Q3,"Electricity, Gas, Water and Waste Services",9529300
1997Q4,"Electricity, Gas, Water and Waste Services",9127200
1998Q1,"Electricity, Gas, Water and Waste Services",9020500
1998Q2,"Electricity, Gas, Water and Waste Services",8928900
1998Q3,"Electricity, Gas, Water and Waste Services",8776500
1998Q4,"Electricity, Gas, Water and Waste Services",8446600
1999Q1,"Electricity, Gas, Water and Waste Services",8932700
1999Q2,"Electricity, Gas, Water and Waste Services",7842800
1999Q3,"Electricity, Gas, Water and Waste Services",7318300
1999Q4,"Electricity, Gas, Water and Waste Services",7318000
