YearQuarter,Industry,Total Gross Earnings
1990Q1,Accommodation and Food Services,14083600
1990Q2,Accommodation and Food Services,13077500
1990Q3,Accommodation and Food Services,13327000
1990Q4,Accommodation and Food Services,13667600
1991Q1,Accommodation and Food Services,15153800
1991Q2,Accommodation and Food Services,13303500
1991Q3,Accommodation and Food Services,13126300
1991Q4,Accommodation and Food Services,13752400
1992Q1,Accommodation and Food Services,15486100
1992Q2,Accommodation and Food Services,14156800
1992Q3,Accommodation and Food Services,13975200
1992Q4,Accommodation and Food Services,14847000
1993Q1,Accommodation and Food Services,15894400
1993Q2,Accommodation and Food Services,14946200
1993Q3,Accommodation and Food Services,14832900
1993Q4,Accommodation and Food Services,15764000
1994Q1,Accommodation and Food Services,17452300
1994Q2,Accommodation and Food Services,16185000
1994Q3,Accommodation and Food Services,16227900
1994Q4,Accommodation and Food Services,17195000
1995Q1,Accommodation and Food Services,18943700
1995Q2,Accommodation and Food Services,17677700
1995Q3,Accommodation and Food Services,18308900
1995Q4,Accommodation and Food Services,19386200
1996Q1,Accommodation and Food Services,20787200
1996Q2,Accommodation and Food Services,19296300
1996Q3,Accommodation and Food Services,20051800
1996Q4,Accommodation and Food Services,23187100
1997Q1,Accommodation and Food Services,21737500
1997Q2,Accommodation and Food Services,21130300
1997Q3,Accommodation and Food Services,21991200
1997Q4,Accommodation and Food Services,22487700
1998Q1,Accommodation and Food Services,23368700
1998Q2,Accommodation and Food Services,21855700
1998Q3,Accommodation and Food Services,22467900
1998Q4,Accommodation and Food Services,23925400
1999Q1,Accommodation and Food Services,23980600
1999Q2,Accommodation and Food Services,22748500
1999Q3,Accommodation and Food Services,23163100
1999Q4,Accommodation and Food Services,25385000
2000Q1,Accommodation and Food Services,26231400
2000Q2,Accommodation and Food Services,25121500
2000Q3,Accommodation and Food Services,25834200
2000Q4,Accommodation and Food Services,28147800
2001Q1,Accommodation and Food Services,28004700
2001Q2,Accommodation and Food Services,27098900
2001Q3,Accommodation and Food Services,27181300
2001Q4,Accommodation and Food Services,29510100
2002Q1,Accommodation and Food Services,30140800
2002Q2,Accommodation and Food Services,29539700
2002Q3,Accommodation and Food Services,29761700
2002Q4,Accommodation and Food Services,31846500
2003Q1,Accommodation and Food Services,33331300
2003Q2,Accommodation and Food Services,31095800
2003Q3,Accommodation and Food Services,29882700
2003Q4,Accommodation and Food Services,32330700
2004Q1,Accommodation and Food Services,33918600
2004Q2,Accommodation and Food Services,29089000
2004Q3,Accommodation and Food Services,29887600
2004Q4,Accommodation and Food Services,32231900
2005Q1,Accommodation and Food Services,34692400
2005Q2,Accommodation and Food Services,33262200
2005Q3,Accommodation and Food Services,34163800
2005Q4,Accommodation and Food Services,35362500
2006Q1,Accommodation and Food Services,37567300
2006Q2,Accommodation and Food Services,34846300
2006Q3,Accommodation and Food Services,34947000
2006Q4,Accommodation and Food Services,38348100
2007Q1,Accommodation and Food Services,38857500
2007Q2,Accommodation and Food Services,38223000
2007Q3,Accommodation and Food Services,39115700
2007Q4,Accommodation and Food Services,42128500
2008Q1,Accommodation and Food Services,41928700
2008Q2,Accommodation and Food Services,41216100
2008Q3,Accommodation and Food Services,41896200
2008Q4,Accommodation and Food Services,43346500
2009Q1,Accommodation and Food Services,42151500
2009Q2,Accommodation and Food Services,39431800
2009Q3,Accommodation and Food Services,39993100
2009Q4,Accommodation and Food Services,43581900
2010Q1,Accommodation and Food Services,46614200
2010Q2,Accommodation and Food Services,41885000
2010Q3,Accommodation and Food Services,40481000
2010Q4,Accommodation and Food Services,42899500
2011Q1,Accommodation and Food Services,46143900
2011Q2,Accommodation and Food Services,39490700
2011Q3,Accommodation and Food Services,39853100
2011Q4,Accommodation and Food Services,44467700
2012Q1,Accommodation and Food Services,44407800
2012Q2,Accommodation and Food Services,42151500
2012Q3,Accommodation and Food Services,44812500
2012Q4,Accommodation and Food Services,46745500
2013Q1,Accommodation and Food Services,46172800
2013Q2,Accommodation and Food Services,42921000
2013Q3,Accommodation and Food Services,44072100
2013Q4,Accommodation and Food Services,46348000
2014Q1,Accommodation and Food Services,49573300
2014Q2,Accommodation and Food Services,50043400
2014Q3,Accommodation and Food Services,50228100
2014Q4,Accommodation and Food Services,54896500
2015Q1,Accommodation and Food Services,56873700
2015Q2,Accommodation and Food Services,53015100
2015Q3,Accommodation and Food Services,54865600
2015Q4,Accommodation and Food Services,58757800
2016Q1,Accommodation and Food Services,63645700
2016Q2,Accommodation and Food Services,62776300
2016Q3,Accommodation and Food Services,64088800
2016Q4,Accommodation and Food Services,67476500
2017Q1,Accommodation and Food Services,70160800
2017Q2,Accommodation and Food Services,71070700
2017Q3,Accommodation and Food Services,68721100
2017Q4,Accommodation and Food Services,69148600
2018Q1,Accommodation and Food Services,73901400
2018Q2,Accommodation and Food Services,67046700
2018Q3,Accommodation and Food Services,70588200
2018Q4,Accommodation and Food Services,71428700
1989Q1,"Transport, Postal and Warehousing",34626100
1989Q2,"Transport, Postal and Warehousing",33940200
1989Q3,"Transport, Postal and Warehousing",33922900
1989Q4,"Transport, Postal and Warehousing",33822800
1990Q1,"Transport, Postal and Warehousing",34433300
1990Q2,"Transport, Postal and Warehousing",34630500
1990Q3,"Transport, Postal and Warehousing",35483500
1990Q4,"Transport, Postal and Warehousing",36044100
1991Q1,"Transport, Postal and Warehousing",36062600
1991Q2,"Transport, Postal and Warehousing",35818700
1991Q3,"Transport, Postal and Warehousing",34442900
1991Q4,"Transport, Postal and Warehousing",34704100
1992Q1,"Transport, Postal and Warehousing",33820900
1992Q2,"Transport, Postal and Warehousing",34027000
1992Q3,"Transport, Postal and Warehousing",32285700
1992Q4,"Transport, Postal and Warehousing",32499100
1993Q1,"Transport, Postal and Warehousing",32469300
1993Q2,"Transport, Postal and Warehousing",31724400
1993Q3,"Transport, Postal and Warehousing",30821200
1993Q4,"Transport, Postal and Warehousing",32400500
1994Q1,"Transport, Postal and Warehousing",32958000
1994Q2,"Transport, Postal and Warehousing",33216000
1994Q3,"Transport, Postal and Warehousing",32556600
1994Q4,"Transport, Postal and Warehousing",33438000
1995Q1,"Transport, Postal and Warehousing",34885000
1995Q2,"Transport, Postal and Warehousing",34701400
1995Q3,"Transport, Postal and Warehousing",34116500
1995Q4,"Transport, Postal and Warehousing",34969600
1996Q1,"Transport, Postal and Warehousing",36092500
1996Q2,"Transport, Postal and Warehousing",36527900
1996Q3,"Transport, Postal and Warehousing",37400700
1996Q4,"Transport, Postal and Warehousing",39576800
1997Q1,"Transport, Postal and Warehousing",39298300
1997Q2,"Transport, Postal and Warehousing",40281600
1997Q3,"Transport, Postal and Warehousing",39853600
1997Q4,"Transport, Postal and Warehousing",41171700
1998Q1,"Transport, Postal and Warehousing",39464800
1998Q2,"Transport, Postal and Warehousing",39392200
1998Q3,"Transport, Postal and Warehousing",40086400
1998Q4,"Transport, Postal and Warehousing",39385900
1999Q1,"Transport, Postal and Warehousing",39953200
1999Q2,"Transport, Postal and Warehousing",39137400
1999Q3,"Transport, Postal and Warehousing",39670400
1999Q4,"Transport, Postal and Warehousing",40999100
2000Q1,"Transport, Postal and Warehousing",40376400
2000Q2,"Transport, Postal and Warehousing",41044400
2000Q3,"Transport, Postal and Warehousing",40205900
2000Q4,"Transport, Postal and Warehousing",42386000
2001Q1,"Transport, Postal and Warehousing",41956900
2001Q2,"Transport, Postal and Warehousing",44778800
2001Q3,"Transport, Postal and Warehousing",43746000
2001Q4,"Transport, Postal and Warehousing",45158900
2002Q1,"Transport, Postal and Warehousing",46002600
2002Q2,"Transport, Postal and Warehousing",46070500
2002Q3,"Transport, Postal and Warehousing",46287800
2002Q4,"Transport, Postal and Warehousing",46035100
2003Q1,"Transport, Postal and Warehousing",45448900
2003Q2,"Transport, Postal and Warehousing",47711300
2003Q3,"Transport, Postal and Warehousing",46369700
2003Q4,"Transport, Postal and Warehousing",48654000
2004Q1,"Transport, Postal and Warehousing",46452100
2004Q2,"Transport, Postal and Warehousing",47444300
2004Q3,"Transport, Postal and Warehousing",46415900
2004Q4,"Transport, Postal and Warehousing",48657300
2005Q1,"Transport, Postal and Warehousing",48036500
2005Q2,"Transport, Postal and Warehousing",46393600
2005Q3,"Transport, Postal and Warehousing",49811300
2005Q4,"Transport, Postal and Warehousing",53138000
2006Q1,"Transport, Postal and Warehousing",56336300
2006Q2,"Transport, Postal and Warehousing",56370600
2006Q3,"Transport, Postal and Warehousing",57334200
2006Q4,"Transport, Postal and Warehousing",54911000
2007Q1,"Transport, Postal and Warehousing",54947000
2007Q2,"Transport, Postal and Warehousing",55869400
2007Q3,"Transport, Postal and Warehousing",53727400
2007Q4,"Transport, Postal and Warehousing",55626400
2008Q1,"Transport, Postal and Warehousing",57299200
2008Q2,"Transport, Postal and Warehousing",59115300
2008Q3,"Transport, Postal and Warehousing",58085700
2008Q4,"Transport, Postal and Warehousing",59279100
2009Q1,"Transport, Postal and Warehousing",56893300
2009Q2,"Transport, Postal and Warehousing",57333800
2009Q3,"Transport, Postal and Warehousing",58568300
2009Q4,"Transport, Postal and Warehousing",59849100
2010Q1,"Transport, Postal and Warehousing",62883100
2010Q2,"Transport, Postal and Warehousing",62188400
2010Q3,"Transport, Postal and Warehousing",64582800
2010Q4,"Transport, Postal and Warehousing",65276600
2011Q1,"Transport, Postal and Warehousing",68503300
2011Q2,"Transport, Postal and Warehousing",66183000
2011Q3,"Transport, Postal and Warehousing",68483000
2011Q4,"Transport, Postal and Warehousing",72135400
2012Q1,"Transport, Postal and Warehousing",74100200
2012Q2,"Transport, Postal and Warehousing",72858400
2012Q3,"Transport, Postal and Warehousing",70833100
2012Q4,"Transport, Postal and Warehousing",74625600
2013Q1,"Transport, Postal and Warehousing",73542400
2013Q2,"Transport, Postal and Warehousing",72155300
2013Q3,"Transport, Postal and Warehousing",74376200
2013Q4,"Transport, Postal and Warehousing",74760800
2014Q1,"Transport, Postal and Warehousing",77372000
2014Q2,"Transport, Postal and Warehousing",79502900
2014Q3,"Transport, Postal and Warehousing",78031500
2014Q4,"Transport, Postal and Warehousing",83168300
2015Q1,"Transport, Postal and Warehousing",86386100
2015Q2,"Transport, Postal and Warehousing",84139700
2015Q3,"Transport, Postal and Warehousing",84571700
2015Q4,"Transport, Postal and Warehousing",86650400
2016Q1,"Transport, Postal and Warehousing",82914000
2016Q2,"Transport, Postal and Warehousing",84809200
2016Q3,"Transport, Postal and Warehousing",87328600
2016Q4,"Transport, Postal and Warehousing",83753800
2017Q1,"Transport, Postal and Warehousing",84536600
2017Q2,"Transport, Postal and Warehousing",83237000
2017Q3,"Transport, Postal and Warehousing",84612100
2017Q4,"Transport, Postal and Warehousing",88812900
2018Q1,"Transport, Postal and Warehousing",88214600
2018Q2,"Transport, Postal and Warehousing",87096600
2018Q3,"Transport, Postal and Warehousing",88235200
2018Q4,"Transport, Postal and Warehousing",89441800
1989Q1,Information Media and Telecommunications,13900800
1989Q2,Information Media and Telecommunications,13609100
1989Q3,Information Media and Telecommunications,13415000
1989Q4,Information Media and Telecommunications,13317300
1990Q1,Information Media and Telecommunications,14043700
1990Q2,Information Media and Telecommunications,13716400
1990Q3,Information Media and Telecommunications,13803400
1990Q4,Information Media and Telecommunications,13875200
1991Q1,Information Media and Telecommunications,14567800
1991Q2,Information Media and Telecommunications,14269700
1991Q3,Information Media and Telecommunications,13775500
1991Q4,Information Media and Telecommunications,13900300
1992Q1,Information Media and Telecommunications,14279500
1992Q2,Information Media and Telecommunications,14167000
1992Q3,Information Media and Telecommunications,13637900
1992Q4,Information Media and Telecommunications,13926700
1993Q1,Information Media and Telecommunications,14424300
1993Q2,Information Media and Telecommunications,14039700
1993Q3,Information Media and Telecommunications,13942500
1993Q4,Information Media and Telecommunications,14255800
1994Q1,Information Media and Telecommunications,15038200
1994Q2,Information Media and Telecommunications,15272300
1994Q3,Information Media and Telecommunications,15183000
1994Q4,Information Media and Telecommunications,15626900
1995Q1,Information Media and Telecommunications,16312600
1995Q2,Information Media and Telecommunications,16198000
1995Q3,Information Media and Telecommunications,16260300
1995Q4,Information Media and Telecommunications,16667700
1996Q1,Information Media and Telecommunications,17645400
1996Q2,Information Media and Telecommunications,17425000
1996Q3,Information Media and Telecommunications,18057800
1996Q4,Information Media and Telecommunications,18411300
1997Q1,Information Media and Telecommunications,18530100
1997Q2,Information Media and Telecommunications,18697600
1997Q3,Information Media and Telecommunications,18578800
1997Q4,Information Media and Telecommunications,18983200
1998Q1,Information Media and Telecommunications,18701900
1998Q2,Information Media and Telecommunications,18817400
1998Q3,Information Media and Telecommunications,18847500
1998Q4,Information Media and Telecommunications,19009300
1999Q1,Information Media and Telecommunications,19709500
1999Q2,Information Media and Telecommunications,19196700
1999Q3,Information Media and Telecommunications,19308800
1999Q4,Information Media and Telecommunications,20254300
2000Q1,Information Media and Telecommunications,20144200
2000Q2,Information Media and Telecommunications,20191600
2000Q3,Information Media and Telecommunications,20137200
2000Q4,Information Media and Telecommunications,20831900
2001Q1,Information Media and Telecommunications,21398800
2001Q2,Information Media and Telecommunications,22037400
2001Q3,Information Media and Telecommunications,21640400
2001Q4,Information Media and Telecommunications,22442900
2002Q1,Information Media and Telecommunications,22997800
2002Q2,Information Media and Telecommunications,22931600
2002Q3,Information Media and Telecommunications,23560200
2002Q4,Information Media and Telecommunications,23939900
2003Q1,Information Media and Telecommunications,24100200
2003Q2,Information Media and Telecommunications,24255500
2003Q3,Information Media and Telecommunications,23906600
2003Q4,Information Media and Telecommunications,25113000
2004Q1,Information Media and Telecommunications,25777800
2004Q2,Information Media and Telecommunications,26402000
2004Q3,Information Media and Telecommunications,26181000
2004Q4,Information Media and Telecommunications,27022900
2005Q1,Information Media and Telecommunications,27790200
2005Q2,Information Media and Telecommunications,27123500
2005Q3,Information Media and Telecommunications,28624000
2005Q4,Information Media and Telecommunications,29770800
2006Q1,Information Media and Telecommunications,31581100
2006Q2,Information Media and Telecommunications,32092900
2006Q3,Information Media and Telecommunications,32272100
2006Q4,Information Media and Telecommunications,32864900
2007Q1,Information Media and Telecommunications,33344700
2007Q2,Information Media and Telecommunications,33308600
2007Q3,Information Media and Telecommunications,33446700
2007Q4,Information Media and Telecommunications,34626300
2008Q1,Information Media and Telecommunications,36682900
2008Q2,Information Media and Telecommunications,37130700
2008Q3,Information Media and Telecommunications,36861000
2008Q4,Information Media and Telecommunications,37592400
2009Q1,Information Media and Telecommunications,37883200
2009Q2,Information Media and Telecommunications,37338100
2009Q3,Information Media and Telecommunications,34159900
2009Q4,Information Media and Telecommunications,35084600
2010Q1,Information Media and Telecommunications,35415800
2010Q2,Information Media and Telecommunications,34943600
2010Q3,Information Media and Telecommunications,35860500
2010Q4,Information Media and Telecommunications,36680200
2011Q1,Information Media and Telecommunications,35826200
2011Q2,Information Media and Telecommunications,35769400
2011Q3,Information Media and Telecommunications,36015700
2011Q4,Information Media and Telecommunications,35596400
2012Q1,Information Media and Telecommunications,35189200
2012Q2,Information Media and Telecommunications,35727000
2012Q3,Information Media and Telecommunications,36505400
2012Q4,Information Media and Telecommunications,34981500
2013Q1,Information Media and Telecommunications,35071600
2013Q2,Information Media and Telecommunications,34613200
2013Q3,Information Media and Telecommunications,37389500
2013Q4,Information Media and Telecommunications,38726100
2014Q1,Information Media and Telecommunications,43742300
2014Q2,Information Media and Telecommunications,40359900
2014Q3,Information Media and Telecommunications,41485300
2014Q4,Information Media and Telecommunications,43231800
2015Q1,Information Media and Telecommunications,40092000
2015Q2,Information Media and Telecommunications,39784600
2015Q3,Information Media and Telecommunications,40440800
2015Q4,Information Media and Telecommunications,42527100
2016Q1,Information Media and Telecommunications,44123600
2016Q2,Information Media and Telecommunications,45343100
2016Q3,Information Media and Telecommunications,40005100
2016Q4,Information Media and Telecommunications,40927300
2017Q1,Information Media and Telecommunications,40596400
2017Q2,Information Media and Telecommunications,42482000
2017Q3,Information Media and Telecommunications,42015300
2017Q4,Information Media and Telecommunications,42397800
2018Q1,Information Media and Telecommunications,44126200
2018Q2,Information Media and Telecommunications,42842700
2018Q3,Information Media and Telecommunications,42103600
2018Q4,Information Media and Telecommunications,41778400
1989Q1,Financial and Insurance Services,25892200
1989Q2,Financial and Insurance Services,25668400
1989Q3,Financial and Insurance Services,25799300
1989Q4,Financial and Insurance Services,26327600
1990Q1,Financial and Insurance Services,27355200
1990Q2,Financial and Insurance Services,26947600
1990Q3,Financial and Insurance Services,27816700
1990Q4,Financial and Insurance Services,28296300
1991Q1,Financial and Insurance Services,28355300
1991Q2,Financial and Insurance Services,27367200
1991Q3,Financial and Insurance Services,27743500
1991Q4,Financial and Insurance Services,27861500
1992Q1,Financial and Insurance Services,29856200
1992Q2,Financial and Insurance Services,29443300
1992Q3,Financial and Insurance Services,29256600
1992Q4,Financial and Insurance Services,28156800
1993Q1,Financial and Insurance Services,28585300
1993Q2,Financial and Insurance Services,28502700
1993Q3,Financial and Insurance Services,28183300
1993Q4,Financial and Insurance Services,28334900
1994Q1,Financial and Insurance Services,28886400
1994Q2,Financial and Insurance Services,29816100
1994Q3,Financial and Insurance Services,29785300
1994Q4,Financial and Insurance Services,31353400
1995Q1,Financial and Insurance Services,30990800
1995Q2,Financial and Insurance Services,32184500
1995Q3,Financial and Insurance Services,33698300
1995Q4,Financial and Insurance Services,34491100
1996Q1,Financial and Insurance Services,33925600
1996Q2,Financial and Insurance Services,36196900
1996Q3,Financial and Insurance Services,36378100
1996Q4,Financial and Insurance Services,35293500
1997Q1,Financial and Insurance Services,33873300
1997Q2,Financial and Insurance Services,36010400
1997Q3,Financial and Insurance Services,37421800
1997Q4,Financial and Insurance Services,35107400
1998Q1,Financial and Insurance Services,34365600
1998Q2,Financial and Insurance Services,34224100
1998Q3,Financial and Insurance Services,34804100
1998Q4,Financial and Insurance Services,34122400
1999Q1,Financial and Insurance Services,33321300
1999Q2,Financial and Insurance Services,33705000
1999Q3,Financial and Insurance Services,33082900
1999Q4,Financial and Insurance Services,33089200
2000Q1,Financial and Insurance Services,35719700
2000Q2,Financial and Insurance Services,35089800
2000Q3,Financial and Insurance Services,36140500
2000Q4,Financial and Insurance Services,36473700
2001Q1,Financial and Insurance Services,36052700
2001Q2,Financial and Insurance Services,37399500
2001Q3,Financial and Insurance Services,37064100
2001Q4,Financial and Insurance Services,37942800
2002Q1,Financial and Insurance Services,37502100
2002Q2,Financial and Insurance Services,37991300
2002Q3,Financial and Insurance Services,38890000
2002Q4,Financial and Insurance Services,40262700
2003Q1,Financial and Insurance Services,40756000
2003Q2,Financial and Insurance Services,42202700
2003Q3,Financial and Insurance Services,43179300
2003Q4,Financial and Insurance Services,40842300
2004Q1,Financial and Insurance Services,43685900
2004Q2,Financial and Insurance Services,47739800
2004Q3,Financial and Insurance Services,44080900
2004Q4,Financial and Insurance Services,44060000
2005Q1,Financial and Insurance Services,45282100
2005Q2,Financial and Insurance Services,45425000
2005Q3,Financial and Insurance Services,45244100
2005Q4,Financial and Insurance Services,45103300
2006Q1,Financial and Insurance Services,50254200
2006Q2,Financial and Insurance Services,53691300
2006Q3,Financial and Insurance Services,53960500
2006Q4,Financial and Insurance Services,55046800
2007Q1,Financial and Insurance Services,55230600
2007Q2,Financial and Insurance Services,54870600
2007Q3,Financial and Insurance Services,53927000
2007Q4,Financial and Insurance Services,56869800
2008Q1,Financial and Insurance Services,55118600
2008Q2,Financial and Insurance Services,57027600
2008Q3,Financial and Insurance Services,57248000
2008Q4,Financial and Insurance Services,58339700
2009Q1,Financial and Insurance Services,58453000
2009Q2,Financial and Insurance Services,55971300
2009Q3,Financial and Insurance Services,57910500
2009Q4,Financial and Insurance Services,56235500
2010Q1,Financial and Insurance Services,55903500
2010Q2,Financial and Insurance Services,55540400
2010Q3,Financial and Insurance Services,56317900
2010Q4,Financial and Insurance Services,57830800
2011Q1,Financial and Insurance Services,60079400
2011Q2,Financial and Insurance Services,61029600
2011Q3,Financial and Insurance Services,61561000
2011Q4,Financial and Insurance Services,63425900
2012Q1,Financial and Insurance Services,63309400
2012Q2,Financial and Insurance Services,64799900
2012Q3,Financial and Insurance Services,68569100
2012Q4,Financial and Insurance Services,65994900
2013Q1,Financial and Insurance Services,66271800
2013Q2,Financial and Insurance Services,68471200
2013Q3,Financial and Insurance Services,68694400
2013Q4,Financial and Insurance Services,71677200
2014Q1,Financial and Insurance Services,75005400
2014Q2,Financial and Insurance Services,76449500
2014Q3,Financial and Insurance Services,78573800
2014Q4,Financial and Insurance Services,81986500
2015Q1,Financial and Insurance Services,84827600
2015Q2,Financial and Insurance Services,85900700
2015Q3,Financial and Insurance Services,82518200
2015Q4,Financial and Insurance Services,83405200
2016Q1,Financial and Insurance Services,81491600
2016Q2,Financial and Insurance Services,85010500
2016Q3,Financial and Insurance Services,82930800
2016Q4,Financial and Insurance Services,82757300
2017Q1,Financial and Insurance Services,83213300
2017Q2,Financial and Insurance Services,82227400
2017Q3,Financial and Insurance Services,80597900
2017Q4,Financial and Insurance Services,79327400
2018Q1,Financial and Insurance Services,85188300
2018Q2,Financial and Insurance Services,86377500
2018Q3,Financial and Insurance Services,81885000
2018Q4,Financial and Insurance Services,83262800
1989Q1,"Rental, Hiring and Real Estate Services",4721200
1989Q2,"Rental, Hiring and Real Estate Services",4863300
1989Q3,"Rental, Hiring and Real Estate Services",4964400
1989Q4,"Rental, Hiring and Real Estate Services",5033200
1990Q1,"Rental, Hiring and Real Estate Services",5100900
1990Q2,"Rental, Hiring and Real Estate Services",4844600
1990Q3,"Rental, Hiring and Real Estate Services",5136200
1990Q4,"Rental, Hiring and Real Estate Services",5027700
1991Q1,"Rental, Hiring and Real Estate Services",5188600
1991Q2,"Rental, Hiring and Real Estate Services",5165300
1991Q3,"Rental, Hiring and Real Estate Services",4943900
1991Q4,"Rental, Hiring and Real Estate Services",4944400
1992Q1,"Rental, Hiring and Real Estate Services",5198500
1992Q2,"Rental, Hiring and Real Estate Services",5225200
1992Q3,"Rental, Hiring and Real Estate Services",5178300
1992Q4,"Rental, Hiring and Real Estate Services",5316900
1993Q1,"Rental, Hiring and Real Estate Services",5183700
1993Q2,"Rental, Hiring and Real Estate Services",5254900
1993Q3,"Rental, Hiring and Real Estate Services",5226500
1993Q4,"Rental, Hiring and Real Estate Services",5360400
1994Q1,"Rental, Hiring and Real Estate Services",5860100
1994Q2,"Rental, Hiring and Real Estate Services",5969200
1994Q3,"Rental, Hiring and Real Estate Services",6011300
1994Q4,"Rental, Hiring and Real Estate Services",6241900
1995Q1,"Rental, Hiring and Real Estate Services",6601800
1995Q2,"Rental, Hiring and Real Estate Services",6434200
1995Q3,"Rental, Hiring and Real Estate Services",6816300
1995Q4,"Rental, Hiring and Real Estate Services",6969300
1996Q1,"Rental, Hiring and Real Estate Services",7196000
1996Q2,"Rental, Hiring and Real Estate Services",7444200
1996Q3,"Rental, Hiring and Real Estate Services",7787500
1996Q4,"Rental, Hiring and Real Estate Services",8065400
1997Q1,"Rental, Hiring and Real Estate Services",7858800
1997Q2,"Rental, Hiring and Real Estate Services",8362500
1997Q3,"Rental, Hiring and Real Estate Services",8730400
1997Q4,"Rental, Hiring and Real Estate Services",8954600
1998Q1,"Rental, Hiring and Real Estate Services",8771000
1998Q2,"Rental, Hiring and Real Estate Services",9397700
1998Q3,"Rental, Hiring and Real Estate Services",9383800
1998Q4,"Rental, Hiring and Real Estate Services",9930200
1999Q1,"Rental, Hiring and Real Estate Services",9662400
1999Q2,"Rental, Hiring and Real Estate Services",9919000
1999Q3,"Rental, Hiring and Real Estate Services",10103300
1999Q4,"Rental, Hiring and Real Estate Services",9985900
2000Q1,"Rental, Hiring and Real Estate Services",10195000
2000Q2,"Rental, Hiring and Real Estate Services",10507900
2000Q3,"Rental, Hiring and Real Estate Services",10829200
2000Q4,"Rental, Hiring and Real Estate Services",10965700
2001Q1,"Rental, Hiring and Real Estate Services",11238600
2001Q2,"Rental, Hiring and Real Estate Services",11417400
2001Q3,"Rental, Hiring and Real Estate Services",11540400
2001Q4,"Rental, Hiring and Real Estate Services",11790500
2002Q1,"Rental, Hiring and Real Estate Services",12231100
2002Q2,"Rental, Hiring and Real Estate Services",12079100
2002Q3,"Rental, Hiring and Real Estate Services",12338200
2002Q4,"Rental, Hiring and Real Estate Services",12702400
2003Q1,"Rental, Hiring and Real Estate Services",12892000
2003Q2,"Rental, Hiring and Real Estate Services",13233900
2003Q3,"Rental, Hiring and Real Estate Services",13671900
2003Q4,"Rental, Hiring and Real Estate Services",13668000
2004Q1,"Rental, Hiring and Real Estate Services",14041800
2004Q2,"Rental, Hiring and Real Estate Services",13805000
2004Q3,"Rental, Hiring and Real Estate Services",13615400
2004Q4,"Rental, Hiring and Real Estate Services",14090600
2005Q1,"Rental, Hiring and Real Estate Services",14522600
2005Q2,"Rental, Hiring and Real Estate Services",14682400
2005Q3,"Rental, Hiring and Real Estate Services",14689200
2005Q4,"Rental, Hiring and Real Estate Services",14338100
2006Q1,"Rental, Hiring and Real Estate Services",14803100
2006Q2,"Rental, Hiring and Real Estate Services",15254100
2006Q3,"Rental, Hiring and Real Estate Services",15860900
2006Q4,"Rental, Hiring and Real Estate Services",16389800
2007Q1,"Rental, Hiring and Real Estate Services",15892900
2007Q2,"Rental, Hiring and Real Estate Services",16151800
2007Q3,"Rental, Hiring and Real Estate Services",16477500
2007Q4,"Rental, Hiring and Real Estate Services",16766800
2008Q1,"Rental, Hiring and Real Estate Services",16588000
2008Q2,"Rental, Hiring and Real Estate Services",16162100
2008Q3,"Rental, Hiring and Real Estate Services",16475100
2008Q4,"Rental, Hiring and Real Estate Services",16977300
2009Q1,"Rental, Hiring and Real Estate Services",17255800
2009Q2,"Rental, Hiring and Real Estate Services",17372100
2009Q3,"Rental, Hiring and Real Estate Services",17077700
2009Q4,"Rental, Hiring and Real Estate Services",18289300
2010Q1,"Rental, Hiring and Real Estate Services",18837400
2010Q2,"Rental, Hiring and Real Estate Services",18742000
2010Q3,"Rental, Hiring and Real Estate Services",19143600
2010Q4,"Rental, Hiring and Real Estate Services",19879300
2011Q1,"Rental, Hiring and Real Estate Services",19282400
2011Q2,"Rental, Hiring and Real Estate Services",18837000
2011Q3,"Rental, Hiring and Real Estate Services",21356300
2011Q4,"Rental, Hiring and Real Estate Services",23870700
2012Q1,"Rental, Hiring and Real Estate Services",23161300
2012Q2,"Rental, Hiring and Real Estate Services",23609200
2012Q3,"Rental, Hiring and Real Estate Services",24945000
2012Q4,"Rental, Hiring and Real Estate Services",25661900
2013Q1,"Rental, Hiring and Real Estate Services",23601200
2013Q2,"Rental, Hiring and Real Estate Services",24738400
2013Q3,"Rental, Hiring and Real Estate Services",25635700
2013Q4,"Rental, Hiring and Real Estate Services",27550300
2014Q1,"Rental, Hiring and Real Estate Services",27638700
2014Q2,"Rental, Hiring and Real Estate Services",26234600
2014Q3,"Rental, Hiring and Real Estate Services",25711800
2014Q4,"Rental, Hiring and Real Estate Services",27369900
2015Q1,"Rental, Hiring and Real Estate Services",27159200
2015Q2,"Rental, Hiring and Real Estate Services",26138900
2015Q3,"Rental, Hiring and Real Estate Services",28373300
2015Q4,"Rental, Hiring and Real Estate Services",28333900
2016Q1,"Rental, Hiring and Real Estate Services",29269100
2016Q2,"Rental, Hiring and Real Estate Services",28494400
2016Q3,"Rental, Hiring and Real Estate Services",28414500
2016Q4,"Rental, Hiring and Real Estate Services",30286000
2017Q1,"Rental, Hiring and Real Estate Services",29686400
2017Q2,"Rental, Hiring and Real Estate Services",30091400
2017Q3,"Rental, Hiring and Real Estate Services",27362000
2017Q4,"Rental, Hiring and Real Estate Services",28748100
2018Q1,"Rental, Hiring and Real Estate Services",29384100
2018Q2,"Rental, Hiring and Real Estate Services",28247900
2018Q3,"Rental, Hiring and Real Estate Services",28665300
2018Q4,"Rental, Hiring and Real Estate Services",28462300
